Salary,player_id,game_date,gamesPlayed,gamesStarted,flyOuts,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,atBats,caughtStealing,stolenBases,stolenBasePercentage,numberOfPitches,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,battersFaced,outs,gamesPitched,completeGames,shutouts,pitchesThrown,balls,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,rbi,gamesFinished,runsScoredPer9,homeRunsPer9,inheritedRunners,inheritedRunnersScored,catchersInterference,sacBunts,sacFlies,passedBall,full_name,position_type,team,game_location,opp,order,complete_game_shutout,DKPts,throws,note,team_strikeOuts,team_hits,team_hitByPitch,team_inningsPitched,team_earnedRuns,season,game_id,K_prcnt,position,RotoName,Roster Position
7400.0,607074,2016-06-24,1,1,2.0,3,6,2,1,0,0,8,2,0,6,1,23,0,0,.---,115,5.2,0,0,0,0,0,0,2,26,17,1,0,0,115.0,41.0,74,0.0,1,1,0,0,2,0,3.18,0.00,0,0,0,0,0,0,carlos rodon,Pitcher,CWS,home,TOR,-1,0.0,19.5,L,,12,8,1,9.0,2,2016,447973,0.3076923076923077,SP,carlrodon,P
8500.0,607074,2016-06-30,1,1,3.0,6,4,4,1,0,2,6,1,0,5,0,21,0,0,.---,87,5.2,0,0,0,0,0,0,4,22,17,1,0,0,87.0,28.0,59,0.0,0,0,0,0,4,0,6.35,3.18,0,0,0,0,0,0,carlos rodon,Pitcher,CWS,home,MIN,-1,0.0,12.700000000000005,L,,12,8,0,9.0,5,2016,448054,0.2727272727272727,SP,carlrodon,P
7800.0,607074,2016-07-05,1,1,4.0,4,8,6,4,0,2,3,2,0,12,0,27,0,0,.---,92,5.0,0,1,0,0,0,0,5,29,15,1,0,0,92.0,33.0,59,0.0,0,0,0,0,5,0,10.80,3.60,0,0,0,0,0,0,carlos rodon,Pitcher,CWS,home,NYY,-1,0.0,0.0500000000000007,L,"(L, 2-7)",6,20,0,9.0,7,2016,448126,0.1034482758620689,SP,carlrodon,P
6800.0,607074,2016-07-31,1,1,4.0,5,5,5,2,0,2,7,2,0,8,0,25,0,1,1.000,99,6.1,0,1,0,0,0,0,5,27,19,1,0,0,99.0,31.0,68,0.0,0,0,1,0,5,0,7.11,2.84,0,0,0,0,0,0,carlos rodon,Pitcher,CWS,away,MIN,-1,0.0,12.925,L,"(L, 2-8)",8,9,0,8.0,6,2016,448426,0.2592592592592592,SP,carlrodon,P
6200.0,607074,2016-08-06,1,1,3.0,6,6,2,2,0,0,7,2,0,5,0,23,0,0,.---,106,6.0,0,0,0,0,0,0,1,26,18,1,0,0,106.0,46.0,60,0.0,0,0,1,0,2,0,3.00,0.00,0,0,0,0,1,0,carlos rodon,Pitcher,CWS,home,BAL,-1,0.0,22.5,L,,10,6,0,9.0,1,2016,448504,0.2692307692307692,SP,carlrodon,P
6400.0,607074,2016-08-12,1,1,8.0,5,9,1,0,0,0,4,3,0,3,0,21,0,1,1.000,122,6.0,1,0,0,0,0,0,1,24,18,1,0,0,122.0,49.0,73,0.0,0,0,1,0,1,0,1.50,0.00,0,0,0,0,0,0,carlos rodon,Pitcher,CWS,away,MIA,-1,0.0,21.7,L,"(W, 3-8)",8,4,0,9.0,2,2016,448585,0.1666666666666666,SP,carlrodon,P
6300.0,607074,2016-08-18,1,1,,6,4,2,2,0,0,5,0,0,8,1,23,0,0,.---,100,6.0,0,0,0,0,0,0,2,24,18,1,0,0,100.0,39.0,61,0.0,1,0,0,0,2,0,3.00,0.00,0,0,0,0,0,0,carlos rodon,Pitcher,CWS,away,CLE,-1,0.0,14.1,L,,8,12,1,8.1,4,2016,448667,0.2083333333333333,SP,carlrodon,P
8600.0,607074,2016-08-23,1,1,3.0,9,7,0,1,0,0,4,1,0,3,0,23,0,0,.---,109,6.2,1,0,0,0,0,0,0,24,20,1,0,0,109.0,38.0,71,0.0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,carlos rodon,Pitcher,CWS,home,PHI,-1,0.0,24.15,L,"(W, 4-8)",6,5,0,9.0,1,2016,448742,0.1666666666666666,SP,carlrodon,P
8900.0,607074,2016-08-28,1,1,,9,3,1,0,1,1,6,1,0,5,0,23,0,0,.---,100,6.0,1,0,0,0,0,0,1,24,18,1,0,0,100.0,37.0,63,0.0,0,0,0,0,1,0,1.50,1.50,0,0,0,0,0,0,carlos rodon,Pitcher,CWS,home,SEA,-1,0.0,24.5,L,"(W, 5-8)",9,7,0,9.0,1,2016,448815,0.25,SP,carlrodon,P
8800.0,607074,2016-09-02,1,1,5.0,4,10,4,1,0,1,5,1,0,7,1,25,1,0,.000,79,7.0,1,0,0,0,0,0,3,28,21,1,0,0,79.0,25.0,54,0.0,1,0,1,1,4,0,5.14,1.29,0,0,0,0,1,0,carlos rodon,Pitcher,CWS,away,MIN,-1,0.0,18.95,L,"(W, 6-8)",6,8,1,9.0,3,2016,448867,0.1785714285714285,SP,carlrodon,P
8300.0,607074,2016-09-09,1,1,3.0,4,6,2,0,0,0,9,2,0,6,0,25,0,3,1.000,116,6.0,1,0,0,0,0,0,1,28,18,1,0,0,116.0,40.0,76,0.0,0,0,1,0,2,0,3.00,0.00,0,0,1,0,0,0,carlos rodon,Pitcher,CWS,home,KC,-1,0.0,29.9,L,"(W, 7-8)",12,7,0,9.0,1,2016,448967,0.3214285714285714,SP,carlrodon,P
8700.0,607074,2016-09-14,1,1,2.0,6,3,6,3,1,1,5,3,0,9,0,23,0,1,1.000,95,5.0,0,1,0,0,0,0,6,26,15,1,0,0,95.0,29.0,66,0.0,0,0,0,0,6,0,10.80,1.80,0,0,0,0,0,0,carlos rodon,Pitcher,CWS,home,CLE,-1,0.0,3.850000000000001,L,"(L, 7-9)",6,10,0,9.0,6,2016,449038,0.1923076923076923,SP,carlrodon,P
7500.0,607074,2016-09-25,1,1,2.0,8,5,0,0,0,0,11,3,0,2,0,25,0,0,.---,108,8.0,1,0,0,0,0,0,0,29,24,1,0,0,108.0,35.0,73,0.0,0,0,1,0,0,0,0.00,0.00,0,0,0,1,0,0,carlos rodon,Pitcher,CWS,away,CLE,-1,0.0,42.8,L,"(W, 8-10)",14,2,0,9.0,0,2016,449189,0.3793103448275862,SP,carlrodon,P
10700.0,607074,2016-09-30,1,1,1.0,3,4,3,1,0,0,10,3,0,3,0,19,0,0,.---,95,6.0,1,0,0,0,0,0,2,23,18,1,0,0,95.0,39.0,56,0.0,0,0,1,0,2,0,4.50,0.00,0,0,0,0,1,0,carlos rodon,Pitcher,CWS,home,MIN,-1,0.0,31.7,L,"(W, 9-10)",12,6,0,9.0,2,2016,449261,0.4347826086956521,SP,carlrodon,P
5600.0,607074,2017-06-28,1,1,1.0,6,6,3,0,0,0,2,6,0,2,0,16,0,0,.---,94,5.0,0,1,0,0,0,0,0,22,15,1,0,0,94.0,53.0,41,0.0,0,0,2,0,2,0,5.40,0.00,0,0,0,0,0,0,carlos rodon,Pitcher,CWS,home,NYY,-1,0.0,14.05,L,"(L, 0-1)",5,9,0,9.0,9,2017,491274,0.0909090909090909,,carlrodon,P
9500.0,607074,2017-07-03,1,1,4.0,4,6,2,1,0,0,10,3,0,4,0,24,0,0,.---,102,6.1,1,0,0,0,0,0,2,27,19,1,0,0,102.0,37.0,65,0.0,0,0,0,0,2,0,2.84,0.00,0,0,0,0,0,0,carlos rodon,Pitcher,CWS,away,OAK,-1,0.0,31.325000000000003,L,"(W, 1-1)",13,5,0,9.0,2,2017,491340,0.3703703703703703,SP,carlrodon,P
6500.0,607074,2017-07-03,1,1,4.0,4,6,2,1,0,0,10,3,0,4,0,24,0,0,.---,102,6.1,1,0,0,0,0,0,2,27,19,1,0,0,102.0,37.0,65,0.0,0,0,0,0,2,0,2.84,0.00,0,0,0,0,0,0,carlos rodon,Pitcher,CWS,away,OAK,-1,0.0,31.325000000000003,L,"(W, 1-1)",13,5,0,9.0,2,2017,491340,0.3703703703703703,SP,carlrodon,P
